[1970s_aperture_science_enrichment_center_core_protocols]: ARPANET/APERNET
!WARNING! This document is prone to containing erroneous information, please proceed with caution
MM_DD_YYYY, RFC <INSERT_ONE_TIME_HERE>: MIT <INSERT_ONE_LABEL_HERE>: <INSERT_ONE_NAME_HERE> CORE
10_16_1969, RFC 20, MIT ASCII, CHARACTER CORE
03_31_1970, RFC 42, MIT PDU, PROTOCOL CORE
08_28_1980, RFC 768, MIT UDP, DATAGRAM CORE
06_00_1981, RFC 783, MIT TFTPv2, TRIVIAL CORE
09_00_1981, RFC 791, MIT IPv4, INTERNET CORE
09_00_1981, RFC 792, MIT ICMP, PING CORE
09_00_1981, RFC 793, MIT TCP, TRANSPORT CORE
11_00_1982, RFC 826, MIT ARP, RESOLUTION CORE
05_00_1983, RFC 854, MIT TELNET PROTO, TELECOMS CORE
05_00_1983, RFC 855, MIT TELNET SPEC, TELCO CORE
05_00_1983, RFC 862, MIT ECHO, DOPPLER CORE
05_00_1983, RFC 863, MIT DISCARD, DISCORD CORE
05_00_1983, RFC 864, MIT CHARGEN, HARMONY CORE
05_00_1983, RFC 868, MIT TIME, TIMING CORE
06_00_1984, RFC 903, MIT RARP, BACKWARDS CORE
02_00_1985, RFC 937, MIT POPv2, POP CORE
09_00_1985, RFC 951, MIT BOOTP, BOOT CORE
10_00_1985, RFC 959, MIT FTP PROTO, FILE CORE
11_00_1987, RFC 1034, MIT DNS PROTO, DOMAIN CORE
11_00_1987, RFC 1035, MIT DNS SPEC, CENTER CORE
12_00_1987, RFC 1036, MIT USENET, UTILITY CORE
06_00_1988, RFC 1055, MIT SLIP, CARELESS CORE
06_00_1988, RFC 1058, MIT RIP, RUPTURE CORE
07_00_1988, RFC 1059, MIT NTP, NETWORK CORE
01_00_1989, RFC 1087, MIT ETHICS, ETHICS CORE
09_00_1989, RFC 1118, MIT GUIDE, GUIDE CORE
09_00_1989, RFC 1119, MIT NTPv2, REVISION CORE
04_01_1990, RFC 1149, MIT IPv4 AVIAN, BIRD CORE
05_00_1990, RFC 1157, MIT SNMPv1, SIMPLE CORE
08_00_1990, RFC 1176, MIT IMAPv2, MAPPING CORE
11_00_1990, RFC 1191, MIT PMTUD MTU, TINY CORE
03_00_1992, RFC 1305, MIT NTPv3, VISITATION CORE
04_00_1992, RFC 1321, MIT MD5, DIGESTIVE CORE
07_00_1992, RFC 1350, MIT TFTPv2, STABILITY CORE
03_00_1993, RFC 1436, MIT GOPHER, GOPHER CORE
04_00_1993, RFC 1441, MIT SNMPv2, THAT CORE
05_00_1993, RFC 1459, MIT IRC, RELAY CORE
12_00_1994, RFC 1730, MIT IMAPv4, FULCRUM CORE
03_00_1995, RFC 1777, MIT LDAP, LEVER CORE
10_00_1995, RFC 1855, MIT NETIQUETTE, GOVERNANCE CORE
02_00_1996, RFC 1918, MIT VPN, VIRTUAL CORE
03_00_1996, RFC 1928, MIT SOCKSv5, SOCK CORE
05_00_1996, RFC 1939, MIT POPv3, POPPY CORE
05_00_1996, RFC 1945, MIT HTTP PROTO, WEB CORE
05_00_1996, RFC 1948, MIT IPv4 SPOOF, SPOOF CORE
05_00_1996, RFC 1950, MIT ZLIBv3, COMPRESSION CORE
05_00_1996, RFC 1951, MIT DEFLATE, DEFLATED CORE
05_00_1996, RFC 1952, MIT GZIPv4, GOOGLE CORE
06_00_1996, RFC 1964, MIT KERBEROS GSSAPI, KERBEROS CORE
01_00_1997, RFC 2080, MIT RIP IPv6, BREAD CORE
03_00_1997, RFC 2119, MIT RFC PROTO, OCULUS CORE
03_00_1997, RFC 2131, MIT DHCP, ADDRESS CORE
06_00_1997, RFC 2177, MIT IMAP IDLE, IDLE CORE
09_00_1997, RFC 2195, MIT MD5 CRAM, CRAMMING CORE
10_00_1997, RFC 2228, MIT FTP SPEC, HAMMING CORE
11_00_1997, RFC 2230, MIT DNS ANNEX, ANNEX CORE
01_00_1999, RFC 2246, MIT TLS PROTO, COSSACK CORE
12_00_1997, RFC 2251, MIT LDAPv3 PROTO, ABSTRACT CORE
12_00_1997, RFC 2252, MIT LDAPv3 SPEC, LIGHT CORE
12_00_1997, RFC 2253, MIT LDAPv3 ANNEX, EXTENSION CORE
12_00_1997, RFC 2254, MIT LDAPv3 FILTER, FILTER CORE
12_00_1997, RFC 2255, MIT LDAPv3 FORMAT, FORMAT CORE
12_00_1997, RFC 2256, MIT LDAPv3 FACTOR, FACTOR CORE
04_00_1998, RFC 2326, MIT RTSP, TWITCH CORE
04_00_1998, RFC 2327, MIT SDP, SESSION CORE
04_00_1998, RFC 2328, MIT OSPF IPv4, OPEN CORE
05_00_1998, RFC 2351, MIT MATIP, LINE CORE
06_00_1998, RFC 2362, MIT PIM SM, CAST CORE
08_00_1998, RFC 2397, MIT URI URL, LINK CORE
11_00_1998, RFC 2407, MIT IKE PROTO, SMALL CORE
11_00_1998, RFC 2408, MIT IKE SPEC, MEDIUM CORE
11_00_1998, RFC 2409, MIT IKE ANNEX, LARGE CORE
09_00_1998, RFC 2427, MIT FRAME RELAY, FRAME CORE
11_00_1998, RFC 2453, MIT RIPv2, RAPTURE CORE
12_00_1998, RFC 2460, MIT IPv6, FLOODED CORE
04_01_1999, RFC 2549, MIT IPv6 AVIAN, OVERHEAD CORE
04_07_1999, RFC 2555, MIT RFC SPEC, META CORE
04_00_1999, RFC 2570, MIT SNMPv3, SNORE CORE
06_00_1999, RFC 2595, MIT TLS SPEC, ADOPTED CORE
06_00_1999, RFC 2606, MIT DNS FILTER, TRAFFIC CORE
12_00_1999, RFC 2740, MIT OSPF IPV6, OBTUSE CORE
01_00_2000, RFC 2743, MIT GSSAPIv2 PROTO, PROTO CORE
01_00_2000, RFC 2744, MIT GSSAPIv2 SPEC, SPEC CORE
04_00_2000, RFC 2801, MIT IOTP PROTO, TRADING CORE
04_00_2000, RFC 2802, MIT IOTP SPEC, DISCOUNT CORE
04_00_2000, RFC 2810, MIT IRC SPEC, ARCHITECT CORE
04_00_2000, RFC 2811, MIT IRC ANNEX, MANAGEMENT CORE
04_00_2000, RFC 2812, MIT IRC FILTER, CONVERSE CORE
04_00_2000, RFC 2813, MIT IRC FORMAT, ISSUE CORE
06_00_2000, RFC 2853, MIT GSSAPIv2 ANNEX, PROBLEM CORE
06_00_2000, RFC 2865, MIT RADIUS PROTO, AUTHENTIC CORE
06_00_2000, RFC 2866, MIT RADIUS SPEC, ACCOUNTING CORE
09_00_2000, RFC 2935, MIT IOTP ANNEX, HUNGRY CORE
10_00_2000, RFC 2974, MIT SAP, PICKY CORE
03_00_2003, RFC 3504, MIT IOTP FILTER, QUERY CORE
01_00_2001, RFC 3022, MIT NAT, STRICT CORE
01_00_2001, RFC 3031, MIT MPLS, BUILD CORE
01_00_2001, RFC 3053, MIT TUN IPv6, TEREDO CORE
02_00_2001, RFC 3056, MIT TUN 6to4, TUNNEL CORE
03_00_2001, RFC 3080, MIT BEEP, CENSOR CORE
08_00_2001, RFC 3162, MIT RADIUS IPv6, BLAM CORE
02_00_2002, RFC 3207, MIT SMTP ANNEX, BOSSY CORE
06_00_2002, RFC 3261, MIT SIP, THIRSTY CORE
06_00_2002, RFC 3284, MIT DIFF VC, DIFFIE CORE
05_00_2002, RFC 3286, MIT SCTP PROTO, STREAM CORE
07_00_2003, RFC 3315, MIT DHCP IPv6, REACH CORE
07_00_2002, RFC 3339, MIT NTP DATE, TIMESTAMP CORE
10_00_2002, RFC 3376, MIT IGMPv3, CONFUSED CORE
10_00_2002, RFC 3401, MIT DDDS PROTO, DYNAMIC CORE
10_00_2002, RFC 3402, MIT DDDS SPEC, BIG CORE
10_00_2002, RFC 3403, MIT DDDS ANNEX, DISTRIBUTED CORE
10_00_2002, RFC 3404, MIT DDDS FILTER, DISAGGREGATION CORE
10_00_2002, RFC 3405, MIT DDDS FORMAT, DISPLAY CORE
03_00_2003, RFC 3492, MIT PUNY CODE, LITTLE CORE
03_00_2003, RFC 3501, MIT IMAPv4, EXCHANGE CORE
04_00_2003, RFC 3530, MIT NFSv4, TRANSFER CORE
06_00_2003, RFC 3538, MIT IOTP FORMAT, PASSENGER CORE
07_00_2003, RFC 3550, MIT RTP, REALTIME CORE
03_00_2004, RFC 3711, MIT SRTP, UPTIGHT CORE
04_00_2004, RFC 3720, MIT ISCSI PROTO, DRIVEN CORE
03_00_2004, RFC 3730, MIT EPP, PROVISIONAL CORE
05_00_2004, RFC 3783, MIT ISCSI SPEC, DRIVER CORE
06_00_2004, RFC 3801, MIT PIM VC, VOICE CORE
08_00_2004, RFC 3830, MIT MIKEY, MOUSE CORE
11_00_2004, RFC 3867, MIT IOTP FACTOR, AMPLIFIER CORE
10_00_2006, RFC 3977, MIT NNTP NEWS, NEWS CORE
07_00_2005, RFC 4121, MIT KERBEROS GSSAPIv5, PUZZLED CORE
07_00_2005, RFC 4122, MIT UUID, UNIQUE CORE
07_00_2005, RFC 4151, MIT URI TAG, TAGGIT CORE
10_00_2005, RFC 4213, MIT TUN 6in4, MINING CORE
10_00_2005, RFC 4217, MIT SSL FTPS, PAINFUL CORE
01_00_2006, RFC 4271, MIT BGP, PERIMETER CORE
12_00_2005, RFC 4287, MIT ATOM PROTO, MINUTE CORE
01_00_2006, RFC 4251, MIT SSHv2, SHELL CORE
02_00_2006, RFC 4291, MIT IPv6 ANNEX, GROUP CORE
02_00_2006, RFC 4353, MIT SIP VOIP, CONFERENCE CORE
01_00_2006, RFC 4408, MIT SPF, POLICY CORE
06_00_2006, RFC 4422, MIT SASL, SASSY CORE
05_00_2006, RFC 4541, MIT IGMP SNOOP, SNOOP CORE
08_00_2006, RFC 4575, MIT VOIP PROTO, ZULU CORE
08_00_2006, RFC 4579, MIT VOIP SPEC, CAPE CORE
07_00_2006, RFC 4634, MIT SHA HMAC, HASHING CORE
08_00_2006, RFC 4655, MIT PCE CXL, EXPRESS CORE
01_00_2007, RFC 4787, MIT NAT FILTER, TRAIN CORE
09_00_2007, RFC 4960, MIT SCTP SPEC, CONTROL CORE
10_00_2007, RFC 5023, MIT ATOM SPEC, FORTH CORE
01_00_2008, RFC 5228, MIT SIEVE FILTER, SIEVE CORE
10_00_2008, RFC 5321, MIT SMTP PROTO, BLACKMAIL CORE
10_00_2008, RFC 5322, MIT SMTP SPEC, MAIL CORE
06_00_2009, RFC 5533, MIT SHIM IPv6, SHIM CORE
09_00_2009, RFC 5545, MIT ICAL DATE, CALENDAR CORE
09_00_2009, RFC 5646, MIT LANG TAG, LANGUAGE CORE
04_00_2010, RFC 5849, MIT OAUTH, QUESTION CORE
06_00_2010, RFC 5880, MIT BFD PROTO, FORWARD CORE
06_00_2010, RFC 5881, MIT BFD SPEC, ADVANCE CORE
06_00_2010, RFC 5905, MIT NTPv4, ALGORITHM CORE
01_00_2010, RFC 5969, MIT IPv6 RD, RAPID CORE
05_00_2011, RFC 6238, MIT TOTP PSWD, TOPCUT CORE
04_00_2011, RFC 6265, MIT HTTP MGMT, COOKIE CORE
11_00_2011, RFC 6409, MIT MSA, SUBMISSION CORE
12_00_2011, RFC 6455, MIT WEBSOCKET, SOCKET CORE
02_00_2012, RFC 6508, MIT SAKKE, DRUNKEN CORE
09_00_2012, RFC 6716, MIT OPUS, OPUS CORE
11_00_2012, RFC 6726, MIT FLUTE, FLUTE CORE
10_00_2012, RFC 6749, MIT OAUTHv2, CHALLENGE CORE
11_00_2012, RFC 6797, MIT HTTP STS, ABRUPT CORE
11_00_2012, RFC 6805, MIT PCE GMPLS, FOREST CORE
06_00_2014, RFC 7230, MIT HTTP SPEC, NET CORE
06_00_2014, RFC 7231, MIT HTTP ANNEX, EDGE CORE
06_00_2014, RFC 7232, MIT HTTP FILTER, REDLINE CORE
06_00_2014, RFC 7233, MIT HTTP FORMAT, CLOUD CORE
06_00_2014, RFC 7234, MIT HTTP FACTOR, NEBULA CORE
06_00_2014, RFC 7235, MIT HTTP FUNNEL, GALAXY CORE
06_00_2014, RFC 7252, MIT COAP, CONSTRAINED CORE
07_00_2014, RFC 7301, MIT TLS ANNEX, NEGOTIATION CORE
08_00_2014, RFC 7348, MIT VLAN VXLAN, EXTENSIBLE CORE
04_00_2015, RFC 7469, MIT HTTP PKP, PUBLIC CORE
05_00_2015, RFC 7540, MIT HTTPv2 PROTO, STATIC CORE
05_00_2015, RFC 7541, MIT HTTPv2 SPEC, PRIVATE CORE
07_00_2015, RFC 7567, MIT IETF AQM, QUEUE CORE
12_00_2015, RFC 7725, MIT HTTP ERROR, ERROR CORE
05_00_2018, RFC 7871, MIT SUBNET MASK, MASKED CORE
05_00_2018, RFC 8391, MIT XMSS, BASED CORE
05_00_2021, RFC 8392, MIT CBOR CWT, TOKEN CORE
05_00_2021, RFC 9000, MIT QUIC UDP, QUICK CORE
08_00_2022, RFC 9293, MIT TCP FACTOR, REFACTOR CORE
12_00_2022, RFC 9338, MIT CBOR COSE, SIGNING CORE
07_00_2024, RFC 9580, MIT PGP, MESSENGER CORE

[extraneous_addenda]
UTF8 - RFC 3629 - Unicode Codecs (UTF8 HTML JSON BASE64)
P2PE - RFC 3078 - Redline Codecs (VULKAN DIRECT KHRONOS EDGE)
DASH - RFC 4578 - Precise Codecs (PIX PXE DHCP W3BIOS)

[miscellaneous_pyria]
ACAP - IANA ICANN EURO-NCAP Ports
OSPF - Shortest Path First Bridges
IOTP - Internet Trade Platform Carts
MPLS - Multiple Protocol Build Labels
DDDS - DYNDNS Dynamic Discovery Systems
ATOM - XML Interoperability Syndication Styroids
CBOR - Health Support Service Safety Attestation Surveys
UEFI - PIX JTAG SATA Universal Extension Wrangler Interfaces
LIBS - COM DLL SYS Dynamic Library Support Driver Frameworks
APPS - XCODE COCOA SWIFT Fluid Application Runtime Environments

- Portal 2 OST - Franken Turrets - https://en.wikipedia.org/wiki/List_of_RFCs - 30/10/2024 -
