[CPython 3.10.2 AMD64 2022-24]
 [IDX] 	 [FN1] 	 [FN2] 	 [FN3] 
-11/11 	 1.000 	 1.000 	 1.000
-10/11 	 0.906 	 0.992 	 0.988
-9/11 	 0.783 	 0.967 	 0.950
-8/11 	 0.672 	 0.924 	 0.886
-7/11 	 0.573 	 0.858 	 0.787
-6/11 	 0.485 	 0.751 	 0.626
-5/11 	 0.408 	 0.449 	 0.449
-4/11 	 0.343 	 0.342 	 0.342
-3/11 	 0.290 	 0.276 	 0.276
-2/11 	 0.249 	 0.233 	 0.233
-1/11 	 0.219 	 0.208 	 0.208
0/11 	 0.200 	 0.200 	 0.200
1/11 	 0.219 	 0.208 	 0.208
2/11 	 0.249 	 0.233 	 0.233
3/11 	 0.290 	 0.276 	 0.276
4/11 	 0.343 	 0.342 	 0.342
5/11 	 0.408 	 0.449 	 0.449
6/11 	 0.485 	 0.751 	 0.626
7/11 	 0.573 	 0.858 	 0.787
8/11 	 0.672 	 0.924 	 0.886
9/11 	 0.783 	 0.967 	 0.950
10/11 	 0.906 	 0.992 	 0.988
11/11 	 1.000 	 1.000 	 1.000
